id,ProductName,Category,price
1,TechNova,television,$136.11 
2,InnoTech,gaming console,$147.85 
3,MegaGadget,speaker,$137.17 
4,ElecTron,tablet,$35.53 
5,ElecTron,camera,$107.70 
6,ElectroMax,television,$142.51 
7,SmartWave,tablet,$135.45 
8,EvoElectronics,headphones,$29.62 
9,MegaGadget,smartphone,$89.04 
10,ElectroMax,smartwatch,$75.02 
11,TechPro,headphones,$111.51 
12,GigaTech,speaker,$108.17 
13,PowerTech,headphones,$71.35 
14,InnoTech,television,$58.61 
15,GigaTech,smartphone,$39.15 
16,MegaGadget,laptop,$143.75 
17,EvoElectronics,headphones,$68.61 
18,ElectroMax,speaker,$64.55 
19,TechNova,headphones,$129.06 
20,PowerTech,headphones,$20.67 
21,ElecTron,smartphone,$89.63 
22,ElecTron,television,$93.82 
23,TechNova,tablet,$49.94 
24,ElectroMax,headphones,$112.29 
25,ElecTron,television,$139.43 
26,GigaTech,printer,$23.70 
27,ElecTron,smartwatch,$37.35 
28,TechNova,television,$145.12 
29,ElecTron,camera,$46.16 
30,ElecTron,printer,$75.70 
31,PowerTech,laptop,$124.24 
32,SmartWave,smartphone,$83.27 
33,ElectroMax,speaker,$28.10 
34,GigaTech,camera,$48.49 
35,SmartWave,printer,$36.83 
36,ElectroMax,gaming console,$70.57 
37,SmartWave,camera,$46.85 
38,SmartWave,smartwatch,$118.50 
39,TechNova,smartphone,$54.74 
40,TechPro,gaming console,$111.44 
41,EvoElectronics,speaker,$71.05 
42,GigaTech,laptop,$120.31 
43,TechPro,headphones,$125.89 
44,TechNova,smartphone,$20.29 
45,MegaGadget,printer,$122.89 
46,MegaGadget,smartphone,$86.65 
47,TechPro,camera,$141.37 
48,TechNova,tablet,$93.47 
49,InnoTech,laptop,$46.01 
50,TechNova,speaker,$31.39 
51,MegaGadget,smartphone,$38.28 
52,TechNova,speaker,$119.89 
53,PowerTech,printer,$32.05 
54,ElecTron,camera,$98.26 
55,EvoElectronics,tablet,$135.48 
56,SmartWave,smartwatch,$118.29 
57,EvoElectronics,camera,$105.98 
58,ElectroMax,laptop,$105.81 
59,SmartWave,laptop,$45.35 
60,TechPro,camera,$90.96 
61,SmartWave,laptop,$100.86 
62,TechPro,gaming console,$108.80 
63,ElecTron,smartphone,$146.23 
64,InnoTech,smartwatch,$69.81 
65,GigaTech,laptop,$108.91 
66,EvoElectronics,laptop,$32.56 
67,InnoTech,smartphone,$137.21 
68,EvoElectronics,camera,$96.94 
69,EvoElectronics,tablet,$78.95 
70,PowerTech,gaming console,$132.68 
71,SmartWave,camera,$47.82 
72,InnoTech,smartphone,$63.55 
73,ElecTron,camera,$99.26 
74,PowerTech,smartphone,$145.84 
75,TechNova,gaming console,$41.04 
76,SmartWave,printer,$46.39 
77,MegaGadget,laptop,$57.10 
78,ElecTron,headphones,$48.45 
79,PowerTech,laptop,$72.10 
80,MegaGadget,speaker,$136.98 
81,TechPro,gaming console,$36.17 
82,ElectroMax,printer,$30.65 
83,SmartWave,printer,$31.68 
84,InnoTech,tablet,$94.16 
85,ElectroMax,television,$67.42 
86,ElectroMax,smartphone,$69.56 
87,TechPro,speaker,$109.34 
88,ElecTron,tablet,$87.47 
89,TechNova,gaming console,$73.28 
90,ElectroMax,speaker,$77.76 
91,GigaTech,smartphone,$42.97 
92,ElectroMax,laptop,$54.27 
93,GigaTech,smartphone,$127.17 
94,TechNova,camera,$114.39 
95,PowerTech,smartwatch,$86.50 
96,MegaGadget,tablet,$69.41 
97,SmartWave,tablet,$119.98 
98,ElecTron,television,$89.33 
99,SmartWave,printer,$80.46 
100,TechPro,laptop,$79.79 
